headline, link, day, month, year, page
Article 5 -- No Title, https://search.proquest.com/docview/97218702/95060BEF90BE446APQ/11?accountid=12702, 03, 2, 1911, 4
HAITI ISSUES CALL TO ARMS.: Taking Measures to Meet Activities of Revolutionists., https://search.proquest.com/docview/97171690/95060BEF90BE446APQ/12?accountid=12702, 04, 2, 1911, 4
MOVING TROOPS IN HAITI.: German Steamer Chartered to Carry Force Against Rebels -- Many Arrests., https://search.proquest.com/docview/97197514/95060BEF90BE446APQ/13?accountid=12702, 05, 2, 1911, 9
HAITIANS SHOOT REBEL.: Gen. Guillaume Insurgent Leader Captured and Executed., https://search.proquest.com/docview/97231023/95060BEF90BE446APQ/14?accountid=12702, 06, 2, 1911, 1
HAITIAN SUSPECTS SHOT.: Officials Summarily Executed -- Simon Marching to Cape Haitien., https://search.proquest.com/docview/97141835/95060BEF90BE446APQ/15?accountid=12702, 07, 2, 1911, 4
MORE FIGHTING IN HAITI.: Troops Land at Cape Haitlen and Await the President's Arrival., https://search.proquest.com/docview/97189775/95060BEF90BE446APQ/16?accountid=12702, 08, 2, 1911, 4
LEADERS OF REVOLT IN.HAITI ARE SHOT: Gen. Millionard Head of the Rebel Forces and Six Others Executed on Simon's Order. MORE BLOODSHED EXPECTED Consuls Trying to Prevent It -- Gen. Severe Whipped in an Effort to Obtain a Confession., https://search.proquest.com/docview/97222842/95060BEF90BE446APQ/17?accountid=12702, 09, 2, 1911, 4
SIMON ATTENDS A TE DEUM.: President Reaches Cape Haitien -- No Rebels Shot Yesterday., https://search.proquest.com/docview/97176290/95060BEF90BE446APQ/18?accountid=12702, 10, 2, 1911, 7
HAITIANS SHOOT TWO MORE GENERALS: But President Simon Under Diplomatic Pressure Promises to Shoot No More. REVOLT IS DECLARED OVER Negro Government Informed by Washington That Execution of Prisoners Would Be Improper Act., https://search.proquest.com/docview/97205140/95060BEF90BE446APQ/19?accountid=12702, 12, 2, 1911, C4
HAITIAN REBELS BURN TOWN.: Guanaminth Destroyed -- Every Man at Cape Haitien Under Arms., https://search.proquest.com/docview/97241234/95060BEF90BE446APQ/20?accountid=12702, 14, 2, 1911, 5
MASSACRE IN HAITI.: Government Troops Kill and Burn -- French Boy One of the Slain., https://search.proquest.com/docview/97226839/95060BEF90BE446APQ/21?accountid=12702, 21, 2, 1911, 4
WE PROTEST AGAINST HAITIAN ATROCITIES: Action by British Consul General at Port-au-Prince Followed by American Representations. REIGN OF TERROR EXISTING Many of the Better Class of Educated Haitians in Jail or Hiding -- Business at a Standstill., https://search.proquest.com/docview/97148859/95060BEF90BE446APQ/22?accountid=12702, 22, 2, 1911, 4
Article 6 -- No Title, https://search.proquest.com/docview/97165151/95060BEF90BE446APQ/23?accountid=12702, 25, 2, 1911, 3
BRITISH CRUISER FOR HAITI.: Minister at Port-au-Prince Asks That Another Be Sent., https://search.proquest.com/docview/97214041/95060BEF90BE446APQ/24?accountid=12702, 26, 2, 1911, C4
TERROR IN CAPE HAITIEN.: Many Arrests and Widespread Fear of Summary Executions., https://search.proquest.com/docview/97223948/95060BEF90BE446APQ/25?accountid=12702, 05, 3, 1911, C4
SAW NEGRO MOB LET HAITIAN CITY BURN: Crew of the Prins Willem Here from Aux Cayes Tell of Wild Scenes of Orgy and Looting. THEY WORKED UNAIDED Capt. Nyboer Led Forty Men Ashore to Save Property and Won Thanks of the Haytian Government., https://search.proquest.com/docview/97182113/95060BEF90BE446APQ/26?accountid=12702, 06, 3, 1911, 1
Haiti's State Bank Opened., https://search.proquest.com/docview/97175684/95060BEF90BE446APQ/27?accountid=12702, 09, 3, 1911, 7
Allemannia Is Refloated., https://search.proquest.com/docview/97228877/95060BEF90BE446APQ/28?accountid=12702, 31, 3, 1911, 4
TOWING ALLEMANIA HERE.: Tugs Leave Haiti with Refloated German Liner Which Went Aground., https://search.proquest.com/docview/97182103/95060BEF90BE446APQ/29?accountid=12702, 17, 4, 1911, 1
Haitian Warship in Distress., https://search.proquest.com/docview/97154192/95060BEF90BE446APQ/30?accountid=12702, 30, 4, 1911, C1
NAVY UNFIT AS REVOLT NEARS: Haiti Faces a Revolution with Her Warships Crippled., https://search.proquest.com/docview/97175631/95060BEF90BE446APQ/31?accountid=12702, 15, 5, 1911, 4
HAITIAN REBELS WIN BATTLE.: Rout Troops and Torture Prisoners -- Gen. Saint Just Their Leader., https://search.proquest.com/docview/97146891/95060BEF90BE446APQ/32?accountid=12702, 04, 6e, 1911, C4
Haiti Expels Frenchman and Belgian., https://search.proquest.com/docview/97139756/95060BEF90BE446APQ/33?accountid=12702, 11, 6e, 1911, C1
HAITIAN REBELS WINNING.: Supporters of Gen. Firmin Expect to Make Him President., https://search.proquest.com/docview/97163773/95060BEF90BE446APQ/34?accountid=12702, 15, 6e, 1911, 2
ALL TRY TO STOP RETURN OF CASTRO: United States Venezuela and Haiti on Lookout -- Orders to Our Secret Service Men. MAY DECLARE SHIP PIRATE If Castro Has Bought Former Italian War Vessel Haiti Will Take Action Against Him., https://search.proquest.com/docview/97157799/95060BEF90BE446APQ/35?accountid=12702, 15, 6e, 1911, 2
DENY CASTRO IS ON STEAMER GROSTUCK: Vessel Arrives at Port au Prince and Haitian Officials Make a Statement. SHOULDN'T FLY GERMAN FLAG Repudiation by Government at Berlin Makes the Former Italian Cruiser Technically a Pirate., https://search.proquest.com/docview/97156735/95060BEF90BE446APQ/36?accountid=12702, 16, 6e, 1911, 4
CASTRO MYSTERY DEEPENS.: Haiti Knows Nothing -- We Send Gunboat to Watch Suspect's Vessel., https://search.proquest.com/docview/97161588/95060BEF90BE446APQ/37?accountid=12702, 17, 6e, 1911, 4
CASTRO IN HIDING CLOSE TO VENEZUELA: Has Reached Barranquilla Colombia and Is Awaiting Chance to Cross the Frontier. PREPARED FOR A REVOLUTION Gunboat Consul Grostuck Ostensibly Purchased for Haiti Said to be Castro's Personal Property., https://search.proquest.com/docview/97152811/95060BEF90BE446APQ/38?accountid=12702, 23, 6e, 1911, 1
HAITI'S WARSHIP LAID UP.: Breaks Down Going to Crush Rebels with President and Troops Aboard., https://search.proquest.com/docview/97132336/95060BEF90BE446APQ/39?accountid=12702, 03, 7y, 1911, 4
SAVED THE HAITIAN ARMY.: Atlas Liner's Crew Took Troopers from the Cruiser Antoine Simon., https://search.proquest.com/docview/97115566/95060BEF90BE446APQ/40?accountid=12702, 11, 7y, 1911, 3
ROUTED BY HAITIAN REBELS.: Government Troops Flee -- United States Sending Second Warship., https://search.proquest.com/docview/97125363/95060BEF90BE446APQ/41?accountid=12702, 19, 7y, 1911, 4
THREATEN PORT-AU-PRINCE.: Rebels Near the Haitian Capital -- We Send a Third Warship., https://search.proquest.com/docview/97140769/95060BEF90BE446APQ/42?accountid=12702, 20, 7y, 1911, 4
Front Page 2 -- No Title, https://search.proquest.com/docview/97114350/95060BEF90BE446APQ/43?accountid=12702, 21, 7y, 1911, 1
Front Page 1 -- No Title, https://search.proquest.com/docview/97120665/95060BEF90BE446APQ/44?accountid=12702, 21, 7y, 1911, 1
AMERICANS IN HAITI SAVED BY A YACHT: It Reaches Cape Haitien in Time to Take Women on Board After Rebels Capture City. TO USE GUNS IF NECESSARY Permission to Do So Refused to Owner by United States Authorities but He Will Protect Compatriots., https://search.proquest.com/docview/97107800/95060BEF90BE446APQ/45?accountid=12702, 21, 7y, 1911, 1
REBELS DOMINATE HAITI.: Simon Likely to Follow Diaz -- American Yacht Was Sold to Government., https://search.proquest.com/docview/97120900/95060BEF90BE446APQ/46?accountid=12702, 22, 7y, 1911, 4
REBELS TO RULE HAITI.: Government Crumbling -- The Des Moines Hurries to Port-au-Prince., https://search.proquest.com/docview/97125706/95060BEF90BE446APQ/47?accountid=12702, 23, 7y, 1911, 4
Article 2 -- No Title, https://search.proquest.com/docview/97117607/95060BEF90BE446APQ/48?accountid=12702, 23, 7y, 1911, 4
HAITIAN REBELS PAUSE.: Walt Reinforcements Before Taking Capital -- They Behead a General., https://search.proquest.com/docview/97223195/95060BEF90BE446APQ/49?accountid=12702, 24, 7y, 1911, 3
Article 1 -- No Title, https://search.proquest.com/docview/97224212/95060BEF90BE446APQ/50?accountid=12702, 24, 7y, 1911, 3
HAITI TO BLOCKADE REBELLIUS PORTS: Serves Notice to That Effect Undeterred by Lack of Navy for the Purpose. WARNED BY OUR MINISTER Officers of German Steamer Tell of Towing Simon's One Available Gunboat Disabled Into Port., https://search.proquest.com/docview/97180782/95060BEF90BE446APQ/51?accountid=12702, 25, 7y, 1911, 4
ANARCHY IN HAITI FEARED.: The Chester at Cape Haitien -- German Warship Sails for Port-au-Prince., https://search.proquest.com/docview/97189049/95060BEF90BE446APQ/52?accountid=12702, 26, 7y, 1911, 2
HAITIAN PLIGHT.: The Entire Republic with the Exception of the Capital Is Now in Revolt., https://search.proquest.com/docview/97160095/95060BEF90BE446APQ/53?accountid=12702, 27, 7y, 1911, 4
CHESTER'S FAST SPEED.: Cruiser Covered 1400 Miles to Haiti In Three Days Three Hours., https://search.proquest.com/docview/97218968/95060BEF90BE446APQ/54?accountid=12702, 28, 7y, 1911, 3
Article 3 -- No Title, https://search.proquest.com/docview/97211293/95060BEF90BE446APQ/55?accountid=12702, 28, 7y, 1911, 3
AMERICAN WARSHIP PATROLS OFF HAITI: Gunboat Petrel Goes to Jeremie Where Bombardment Is Expected. CAPE HAITIEN QUIET AGAIN Work on Railway to be Resumed Under Promise from Revolutionists of No Interference., https://search.proquest.com/docview/97197105/95060BEF90BE446APQ/56?accountid=12702, 28, 7y, 1911, 3
REBELS NEAR HAITI'S CAPITAL: But Simon Hopes to Quell Revolt Through Dissensions of Enemies., https://search.proquest.com/docview/97183036/95060BEF90BE446APQ/57?accountid=12702, 29, 7y, 1911, 4
HAITI OVERTURN BLOODLESS.: Petrel's Commander Indicates This -- British Cruiser Sails for There., https://search.proquest.com/docview/97166976/95060BEF90BE446APQ/58?accountid=12702, 30, 7y, 1911, 6
German Cruiser for Haiti., https://search.proquest.com/docview/97216710/95060BEF90BE446APQ/59?accountid=12702, 31, 7y, 1911, 4
AMERICAN CREW LEAVES HAITI: After Turning Over War Ship to Hard Pressed Government., https://search.proquest.com/docview/97212023/95060BEF90BE446APQ/60?accountid=12702, 01, 8, 1911, 4
HAITIAN REBELS WIN; SIMON NOW AN EXILE: Six Are Killed in a Riot as President Embarks -- His Daughter Is Hurt. FOREIGN INTERESTS SAFE Committee of Safety Formed to Protect Capital Which Is Invested -Several Warships Land Sailors., https://search.proquest.com/docview/97221133/95060BEF90BE446APQ/61?accountid=12702, 03, 8, 1911, 1
RIVAL FACTIONS THREATEN HAITI: We May Have to Intervene if Lecontists and Firminists Clash. NO ORGANIZED GOVERNMENT About Forty Killed In Occupation of Capital and Riots -- German and British Marines Land., https://search.proquest.com/docview/97169446/95060BEF90BE446APQ/62?accountid=12702, 04, 8, 1911, 4
TOPICS OF THE TIMES., https://search.proquest.com/docview/97159089/95060BEF90BE446APQ/63?accountid=12702, 04, 8, 1911, 6
SIMON QUITS HAITI.: Capital Is Uneasy Over Rival Candidates for Presidency., https://search.proquest.com/docview/97197797/95060BEF90BE446APQ/64?accountid=12702, 05, 8, 1911, 5
SIMON IN JAMAICA.: Lands at Kingston Under Heavy Guard -- Haitian Conditions Chaotic., https://search.proquest.com/docview/97226881/95060BEF90BE446APQ/65?accountid=12702, 06, 8, 1911, C4
ARMY PROCLAIMS LECONTE PRESIDENT: Victorious General Probably Will Be Elected by Voters of Haiti -- Capital Calm. MAY LAND AMERICAN MARINES Gen. Firmin Hopes Election Can Be Conducted Without Difficulty -- Dr. Bobo Exile Also a Candidate., https://search.proquest.com/docview/97122097/95060BEF90BE446APQ/66?accountid=12702, 07, 8, 1911, 5
Article 1 -- No Title, https://search.proquest.com/docview/97127598/95060BEF90BE446APQ/67?accountid=12702, 07, 8, 1911, 5
EXILED HAITIANS HERE GOLD-LADEN: Son of Simon Deposed President and Minister of War Arrive on the Allemania. STRONG BOXES WITH THEM The President and Others Left Behind in a Warship -- Refugees of Revolution Are Bound for Paris., https://search.proquest.com/docview/97227079/95060BEF90BE446APQ/68?accountid=12702, 08, 8, 1911, 4
LECONTE IN HAITI'S CAPITAL.: Revolutionary Leader Takes Possession of National Palace., https://search.proquest.com/docview/97220875/95060BEF90BE446APQ/69?accountid=12702, 08, 8, 1911, 4
PLANS TO OUST LECONTE.: Gen. Fouchard Haitian Envoy to Germany to Fight for Presidency., https://search.proquest.com/docview/97214906/95060BEF90BE446APQ/70?accountid=12702, 11, 8, 1911, 5
THE CHARTER., https://search.proquest.com/docview/97215012/95060BEF90BE446APQ/71?accountid=12702, 11, 8, 1911, 8
ELECTED HAITI'S PRESIDENT.: Leconte Chosen by Congress -- Simon's Friends Go to Jamaica., https://search.proquest.com/docview/97121597/95060BEF90BE446APQ/72?accountid=12702, 15, 8, 1911, 4
Article 4 -- No Title, https://search.proquest.com/docview/97164360/95060BEF90BE446APQ/73?accountid=12702, 17, 8, 1911, 4
Notes of Foreign Affairs., https://search.proquest.com/docview/97196329/95060BEF90BE446APQ/74?accountid=12702, 22, 8, 1911, 4
Article 4 -- No Title, https://search.proquest.com/docview/97181819/95060BEF90BE446APQ/75?accountid=12702, 23, 8, 1911, 4
FOREIGN CONTROL NEEDED IN HAITI: Honest Officials in Custom House Would Put a Stop to Looting of Treasury. SIMON'S DAUGHTER RULED Crowds Expressed Their Feelings When ex-President's Family Departed -Foreigners Run Revolutions., https://search.proquest.com/docview/97229683/95060BEF90BE446APQ/76?accountid=12702, 27, 8, 1911, C4
Last Gunboat to Leave Haiti., https://search.proquest.com/docview/97191830/95060BEF90BE446APQ/77?accountid=12702, 02, 9, 1911, 8
WATCHING AMERICAN INTERESTS IN HAITI: Those Who Have Invested Millions There took to President Leconte for Protection. CHOOSES A STRONG CABINET Americans Who Are Building Railroad Find Germans and French Are Strongly Intrenched., https://search.proquest.com/docview/97200641/95060BEF90BE446APQ/78?accountid=12702, 03, 9, 1911, C4
MUTINY ON HAITIAN SHIP.: The 17 Septembre on Fire Also -- 60 of the 210 Passengers Landed., https://search.proquest.com/docview/97203176/95060BEF90BE446APQ/79?accountid=12702, 13, 9, 1911, 4
To Fight Disease in Haiti., https://search.proquest.com/docview/97162054/95060BEF90BE446APQ/80?accountid=12702, 17, 9, 1911, C3
GEN. ANTENOR FIRMIN DEAD.: Revolutionist Once Proclaimed President of Haiti but Driven Into Exile., https://search.proquest.com/docview/97176635/95060BEF90BE446APQ/81?accountid=12702, 20, 9, 1911, 13
ABANDON HAITIAN GUNBOAT.: Crew Starving at Kingston Where Centenaire Was Sent by Simon., https://search.proquest.com/docview/97124731/95060BEF90BE446APQ/82?accountid=12702, 04, 10, 1911, 22
HAITI HAS AN EARTHQUAKE.: Lasts Thirty Seconds but Does No Damage -- Turk's Islands Shaken., https://search.proquest.com/docview/97180629/95060BEF90BE446APQ/83?accountid=12702, 07, 10, 1911, 2
More Earthshocks in Haiti., https://search.proquest.com/docview/97216803/95060BEF90BE446APQ/84?accountid=12702, 08, 10, 1911, C4
GRAFT IN HAITIAN NAVY.: Repairs to Gunboat Worth $4000 Cost $20000 -- Still Is Useless., https://search.proquest.com/docview/97126944/95060BEF90BE446APQ/85?accountid=12702, 20, 11, 1911, 20
BRYAN A PASSENGER ON STRANDED LINER: All Safe on the Prinz Joachim with Vessel Alongside to Take Off Those on Board. TOLD NEW YORK BY WIRELESS Message Came 1250 Miles from Samana Island Off the Bahamas Where Steamer Grounded. BRYAN A PASSENGER ON STRANDED LINER, https://search.proquest.com/docview/97111135/95060BEF90BE446APQ/86?accountid=12702, 23, 11, 1911, 1
HAITI DRIVES OUT SYRIAN MERCHANTS: Some of Them American Citizens and All Have Established Trade with the United States. AN APPEAL TO WASHINGTON Syrians Here Ask Our Government for Protection of Their Countrymen -- Haitian Natives Hostile., https://search.proquest.com/docview/97177189/95060BEF90BE446APQ/87?accountid=12702, 21, 12, 1911, 4
HELP FOR SYRIANS BARRED FROM HAITI: Large Concerns Here Indicate an Interest Because of Injury to Export Trade. AMERICAN CITIZENS INVOLVED Petition Sent to State Department at Washington Asks Interference for the Protection of Trade., https://search.proquest.com/docview/97122433/95060BEF90BE446APQ/88?accountid=12702, 22, 12, 1911, 18
HATCHES DOMINGAN REVOLT.: Follower of Morales Plotting One In Haiti -- Rifles Landed There., https://search.proquest.com/docview/97318287/95060BEF90BE446APQ/89?accountid=12702, 01, 1, 1912, 6
HAITIAN TRADE IN PERIL.: Exclusion of Syrians Will Give Business to Europe Merchants Say., https://search.proquest.com/docview/97289821/95060BEF90BE446APQ/90?accountid=12702, 27, 1, 1912, 12
DOMINGAN GENERAL SLAIN.: Severe Fighting on Sunday Night on the Haitian Frontier., https://search.proquest.com/docview/97294275/95060BEF90BE446APQ/91?accountid=12702, 13, 2, 1912, 4
REPORT DOMINICAN BATTLE.: Rebels Said to Have Attacked Monte Christe and Suffered Repulse., https://search.proquest.com/docview/97343082/95060BEF90BE446APQ/92?accountid=12702, 24, 2, 1912, 4
HAITIAN TYRANT MUST DIE.: Jury Condemns Gen. Coicou to Death for Murder of Ten., https://search.proquest.com/docview/97317148/95060BEF90BE446APQ/93?accountid=12702, 10, 3, 1912, C4
TO PAY HAITIEN MUTINEERS.: Gunboat Crew Prisoners in Hold May Thus Be Pacified., https://search.proquest.com/docview/97296710/95060BEF90BE446APQ/94?accountid=12702, 26, 3, 1912, 7
DOMINICANS ARE RESTIVE.: President a Figurehead and His Nephew Aged 27 Rules., https://search.proquest.com/docview/97325989/95060BEF90BE446APQ/95?accountid=12702, 31, 3, 1912, C4
Knox Leaves Porto Rico for Haiti., https://search.proquest.com/docview/97277768/95060BEF90BE446APQ/96?accountid=12702, 02, 4, 1912, 7
KNOX URGES PEACE ON HAITI.: Only by Self-Development Can It Prosper He Declares., https://search.proquest.com/docview/97317833/95060BEF90BE446APQ/97?accountid=12702, 04, 4, 1912, 3
HAITI WANTS AMERICANS.: Too Few There Says President Leconte -- Knox Salis for Cuba, https://search.proquest.com/docview/97277140/95060BEF90BE446APQ/98?accountid=12702, 05, 4, 1912, 4
ANOTHER PLOT IN HAITI.: Ex-Minister at Washington One of a Large Number Arrested., https://search.proquest.com/docview/97289612/95060BEF90BE446APQ/99?accountid=12702, 09, 5, 1912, 5
HAITIAN NEGROES AID CUBAN REBELS: Revolt Grows Rapidly -- Americans' Property Raided -Protection Demanded. RURALES SLAIN IN FIGHT Striking Santiago Longshoremen Join the Insurgents -- Government Suppressing News Dispatches., https://search.proquest.com/docview/97221939/95060BEF90BE446APQ/100?accountid=12702, 22, 5, 1912, 1
DOMINGAN REBELS WIN.: Defeat Government Troops In Two Fights -- General Is Killed., https://search.proquest.com/docview/97366441/95060BEF90BE446APQ/101?accountid=12702, 26, 5, 1912, C4
WE SEIZE HAITIEN GUNBOAT.: Ferrier Held for Debt at Philadelphia Navy Yard., https://search.proquest.com/docview/97351703/95060BEF90BE446APQ/102?accountid=12702, 04, 8, 1912, 5
DOMINICANS FEAR WAR.: American Gunboats Held Ready for Possible Conflict with Haiti., https://search.proquest.com/docview/97313750/95060BEF90BE446APQ/103?accountid=12702, 06, 8, 1912, 1
Incorporate to Operate In Haiti., https://search.proquest.com/docview/97262986/95060BEF90BE446APQ/104?accountid=12702, 07, 8, 1912, 13
EXPLOSION KILLS HAITIAN PRESIDENT: Leconte Perishes in Destruction of His Palace -- 400 Others Killed or Injured. THE DISASTER A MYSTERY First Explosion Followed by Others Due to Great Quantity of Ammunition Stored In the Palace., https://search.proquest.com/docview/97247227/95060BEF90BE446APQ/105?accountid=12702, 09, 8, 1912, 1
Front Page 2 -- No Title, https://search.proquest.com/docview/97280516/95060BEF90BE446APQ/106?accountid=12702, 09, 8, 1912, 1
Article 4 -- No Title, https://search.proquest.com/docview/97273662/95060BEF90BE446APQ/107?accountid=12702, 10, 8, 1912, 3
EXILES HELPED TO KILL LECONTE: Jamaica Refugees Jubilant Over the President's End Talk of Return to Island. WARSHIP AT PORT AU PRINCE Auguste Assumes the Presidency Without Disorder but Washington Fears Turmoll., https://search.proquest.com/docview/97274109/95060BEF90BE446APQ/108?accountid=12702, 10, 8, 1912, 3
SEEKS $1000000 FOR WAR.: Santo Domingo Wants Loan to Fight Haiti -- We May Dissuade Them., https://search.proquest.com/docview/97261561/95060BEF90BE446APQ/109?accountid=12702, 10, 8, 1912, 6
TOPICS OF THE TIMES., https://search.proquest.com/docview/97272510/95060BEF90BE446APQ/110?accountid=12702, 10, 8, 1912, 6
LECONTE BURIED WITH POMP.: Haiti's Capital Quiet as Last Honors Are Paid to President., https://search.proquest.com/docview/97268321/95060BEF90BE446APQ/111?accountid=12702, 12, 8, 1912, 4
WE MAY INTERVENE IN SANTO DOMINGO: State Department May Send Troops to Protect Custom Houses from Rebels. CLASH WITH HAITI LIKELY Adjacent Republic Annexes Disputed Territory and Haitians Are In Sympathy with the Rebels., https://search.proquest.com/docview/97282238/95060BEF90BE446APQ/112?accountid=12702, 14, 9, 1912, 3
MONTE CRISTI BESIEGED.: Rebels Attack Santo Domingan Port -- The Fighting Desperate., https://search.proquest.com/docview/97246582/95060BEF90BE446APQ/113?accountid=12702, 05, 11, 1912, 7
HERRICK ENTERTAINS IN PARIS.: Ambassador Has Latin-American Diplomats as Luncheon Guests., https://search.proquest.com/docview/97390048/95060BEF90BE446APQ/114?accountid=12702, 23, 2, 1913, 42
SEEK HAITIAN PRESIDENCY.: Four Candidates for Post Following the Death of President Tancrede., https://search.proquest.com/docview/97375839/95060BEF90BE446APQ/115?accountid=12702, 04, 5, 1913, C3
ORESTE HAITI'S PRESIDENT.: Rioting Signalizes the Election -- Gunboat Nashville on Guard., https://search.proquest.com/docview/97417582/95060BEF90BE446APQ/116?accountid=12702, 05, 5, 1913, 8
RESTORING ORDER IN HAITI.: New President Energetic -- German Warship to Port-au-Prince., https://search.proquest.com/docview/97516453/95060BEF90BE446APQ/117?accountid=12702, 06, 5, 1913, 3
BUBONIC PLAGUE IN HAITI?: Many Deaths in Jacmel -- Government Says It Is Only Fever., https://search.proquest.com/docview/97456353/95060BEF90BE446APQ/118?accountid=12702, 18, 6e, 1913, 3
CUBA ACTS AGAINST PLAGUE: Orders Gunboat Patrol to Stop Haitians Trying to Slip In., https://search.proquest.com/docview/97454482/95060BEF90BE446APQ/119?accountid=12702, 20, 6e, 1913, 2
HAITI'S PRESIDENT SLAIN?: Oreste Said to Have Been Poisoned by One of His Servants., https://search.proquest.com/docview/97475864/95060BEF90BE446APQ/120?accountid=12702, 04, 7y, 1913, 3
Named as Envoy to Haiti., https://search.proquest.com/docview/97416992/95060BEF90BE446APQ/121?accountid=12702, 08, 8, 1913, 7
Mexico and Haiti., https://search.proquest.com/docview/97408306/95060BEF90BE446APQ/122?accountid=12702, 31, 8, 1913, 10
A WHITE MINISTER TO HAITI., https://search.proquest.com/docview/97385328/95060BEF90BE446APQ/123?accountid=12702, 20, 9, 1913, 10
COLORED AMERICANS: Susceptible as Haitians of Mixed Blood to Refining Influences., https://search.proquest.com/docview/97495349/95060BEF90BE446APQ/124?accountid=12702, 25, 9, 1913, 12
NEW YORK LOSING GOLD.: Canada Gets $4350000 More Mexico $180000 and Haiti $100000., https://search.proquest.com/docview/97456207/95060BEF90BE446APQ/125?accountid=12702, 27, 11, 1913, 15
Haitian Lighting Company Formed., https://search.proquest.com/docview/97438355/95060BEF90BE446APQ/126?accountid=12702, 14, 12, 1913, C6
ANOTHER HAITIAN REVOLT.: Gen. Zamor Takes Refuge in American Consulate at Cape Haitien., https://search.proquest.com/docview/97572566/95060BEF90BE446APQ/127?accountid=12702, 06, 1, 1914, 1
SEEK OLD HAITIAN FORTUNE.: Thirteen Families Claim Le Bon Wealth Abandoned 120 Years Ago., https://search.proquest.com/docview/97586226/95060BEF90BE446APQ/128?accountid=12702, 12, 1, 1914, 11
Article 1 -- No Title, https://search.proquest.com/docview/97560205/95060BEF90BE446APQ/129?accountid=12702, 21, 1, 1914, 2
HAITIEN FEDERAL TROOPS DEFEATED: Rebels Rout Them in Fierce Engagement -- War Minister a Fugitive. AMERICAN WARSHIP SENT Gunboat Nashville Will Protect Our Interests -- Cape Haltien Invested by Rebels., https://search.proquest.com/docview/97552643/95060BEF90BE446APQ/130?accountid=12702, 21, 1, 1914, 2
GUNBOAT FOR CAPE HAITIEN.: The Nashville Going There and Other Warships May Follow., https://search.proquest.com/docview/97557365/95060BEF90BE446APQ/131?accountid=12702, 22, 1, 1914, 2
Article 1 -- No Title, https://search.proquest.com/docview/97595225/95060BEF90BE446APQ/132?accountid=12702, 22, 1, 1914, 2
REBELS TAKE CAPE HAITIEN.: Haitian President Calls Congress in Extraordinary Session., https://search.proquest.com/docview/97575586/95060BEF90BE446APQ/133?accountid=12702, 23, 1, 1914, 5
Front Page 5 -- No Title, https://search.proquest.com/docview/97621541/95060BEF90BE446APQ/134?accountid=12702, 25, 1, 1914, 9
REVOLT IN HAITI ROUSES WASHINGTON: United States Marines and Sailors May Land to Guard Custom Houses., https://search.proquest.com/docview/97645185/95060BEF90BE446APQ/135?accountid=12702, 25, 1, 1914, 9
Front Page 4 -- No Title, https://search.proquest.com/docview/97567985/95060BEF90BE446APQ/136?accountid=12702, 25, 1, 1914, 9
HAITIAN RISING GROWS.: American Cruiser on Guard -- Two Rebels Want Presidency., https://search.proquest.com/docview/97525456/95060BEF90BE446APQ/137?accountid=12702, 26, 1, 1914, 4
